race_date,place_code,race_no,bet_type,bet_name,kumi_ban,payout,popularity
2026-03-26,42,1,SH2,二車複,1=2,160,1
2026-03-26,42,1,ST2,二車単,1-2,220,1
2026-03-26,42,1,RH3,三連複,1=2=4,470,2
2026-03-26,42,1,RT3,三連単,1-2-4,1060,3
2026-03-26,42,1,W,ワイド,1=2,110,1
2026-03-26,42,1,W,ワイド,1=4,210,4
2026-03-26,42,1,W,ワイド,2=4,420,6
2026-03-26,42,2,SH2,二車複,1=7,11210,10
2026-03-26,42,2,ST2,二車単,1-7,9320,8
2026-03-26,42,2,RH3,三連複,1=2=7,7900,11
2026-03-26,42,2,RT3,三連単,1-7-2,47470,32
2026-03-26,42,2,W,ワイド,1=7,4120,15
2026-03-26,42,2,W,ワイド,1=2,160,1
2026-03-26,42,2,W,ワイド,2=7,5850,17
2026-03-26,42,3,SH2,二車複,1=2,510,2
2026-03-26,42,3,ST2,二車単,1-2,760,1
2026-03-26,42,3,RH3,三連複,1=2=3,780,3
2026-03-26,42,3,RT3,三連単,1-2-3,3480,6
2026-03-26,42,3,W,ワイド,1=2,230,2
2026-03-26,42,3,W,ワイド,1=3,240,3
2026-03-26,42,3,W,ワイド,2=3,340,4
2026-03-26,42,4,SH2,二車複,1=6,3420,9
2026-03-26,42,4,ST2,二車単,1-6,4510,9
2026-03-26,42,4,RH3,三連複,1=3=6,3990,9
2026-03-26,42,4,RT3,三連単,1-6-3,25280,47
2026-03-26,42,4,W,ワイド,1=6,930,9
2026-03-26,42,4,W,ワイド,1=3,340,4
2026-03-26,42,4,W,ワイド,3=6,1210,10
2026-03-26,42,5,SH2,二車複,1=4,1260,5
2026-03-26,42,5,ST2,二車単,1-4,3020,8
2026-03-26,42,5,RH3,三連複,1=2=4,890,3
2026-03-26,42,5,RT3,三連単,1-4-2,7420,21
2026-03-26,42,5,W,ワイド,1=4,360,6
2026-03-26,42,5,W,ワイド,1=2,140,1
2026-03-26,42,5,W,ワイド,2=4,540,9
2026-03-26,42,6,SH2,二車複,2=4,320,1
2026-03-26,42,6,ST2,二車単,4-2,540,2
2026-03-26,42,6,RH3,三連複,2=4=6,510,2
2026-03-26,42,6,RT3,三連単,4-2-6,3370,10
2026-03-26,42,6,W,ワイド,2=4,180,1
2026-03-26,42,6,W,ワイド,4=6,360,8
2026-03-26,42,6,W,ワイド,2=6,190,2
2026-03-26,42,7,SH2,二車複,1=2,170,1
2026-03-26,42,7,ST2,二車単,1-2,240,1
2026-03-26,42,7,RH3,三連複,1=2=7,2390,6
2026-03-26,42,7,RT3,三連単,1-2-7,4860,16
2026-03-26,42,7,W,ワイド,1=2,130,1
2026-03-26,42,7,W,ワイド,1=7,680,9
2026-03-26,42,7,W,ワイド,2=7,1160,13
2026-03-26,44,1,SH2,二車複,3=4,460,2
2026-03-26,44,1,ST2,二車単,4-3,610,2
2026-03-26,44,1,RH3,三連複,2=3=4,1900,10
2026-03-26,44,1,RT3,三連単,4-3-2,3650,10
2026-03-26,44,1,W,ワイド,3=4,260,3
2026-03-26,44,1,W,ワイド,2=4,430,8
2026-03-26,44,1,W,ワイド,2=3,860,14
2026-03-26,44,2,SH2,二車複,2=5,290,2
2026-03-26,44,2,ST2,二車単,2-5,550,3
2026-03-26,44,2,RH3,三連複,2=3=5,140,1
2026-03-26,44,2,RT3,三連単,2-5-3,770,3
2026-03-26,44,2,W,ワイド,2=5,130,2
