race_date,place_code,race_no,car_no,player_code,player_name,prefecture,kyaku,yosoin,itioshi_flag,aisyo_flag,assen,syumoku,den_time,st_time,line_type,narabi_flg,ozz_flg,result_flg
2026-04-26,42,1,1,015507,上遠野 拓馬,宮 城,逃,注,0,0,,S級一般,10:42,10:45,二分戦,1,1,0
2026-04-26,42,1,2,013197,鈴木 幸紀,三 重,追,△,0,0,,S級一般,10:42,10:45,二分戦,1,1,0
2026-04-26,42,1,3,013810,良永 浩一,福 岡,追,×,0,0,,S級一般,10:42,10:45,二分戦,1,1,0
2026-04-26,42,1,4,015236,藤根 俊貴,岩 手,逃,◎,0,0,,S級一般,10:42,10:45,二分戦,1,1,0
2026-04-26,42,1,5,015536,疋田 力也,愛 知,両,○,0,0,,S級一般,10:42,10:45,二分戦,1,1,0
2026-04-26,42,2,1,015540,徳田 匠,京 都,逃,◎,0,0,,S級一般,11:06,11:09,コマ切れ,1,1,0
2026-04-26,42,2,2,014450,金子 哲大,埼 玉,両,△,0,0,,S級一般,11:06,11:09,コマ切れ,1,1,0
2026-04-26,42,2,3,014953,和田 誠寿,広 島,追,×,0,0,,S級一般,11:06,11:09,コマ切れ,1,1,0
2026-04-26,42,2,4,015382,竹元 健竜,福 岡,両,注,0,0,,S級一般,11:06,11:09,コマ切れ,1,1,0
2026-04-26,42,2,5,013330,舘 泰守,愛 知,追,○,0,0,(補充),S級一般,11:06,11:09,コマ切れ,1,1,0
2026-04-26,42,3,1,014080,近藤 隆司,千 葉,両,△,0,0,,S級一般,11:30,11:33,三分戦,1,1,0
2026-04-26,42,3,2,012759,金山 栄治,滋 賀,追,注,0,0,,S級一般,11:30,11:33,三分戦,1,1,0
2026-04-26,42,3,3,014043,中園 和剛,福 岡,追,○,0,0,,S級一般,11:30,11:33,三分戦,1,1,0
2026-04-26,42,3,4,015067,瀬戸 晋作,長 崎,両,◎,0,0,,S級一般,11:30,11:33,三分戦,1,1,0
2026-04-26,42,3,5,012886,中井 達郎,静 岡,追,×,0,0,,S級一般,11:30,11:33,三分戦,1,1,0
2026-04-26,42,3,6,015627,南儀 拓海,富 山,逃,,0,0,(補充),S級一般,11:30,11:33,三分戦,1,1,0
2026-04-26,42,4,1,014683,藤岡 隆治,徳 島,追,×,0,0,(追加),S級選抜,11:54,11:57,四分戦,1,1,0
2026-04-26,42,4,2,014939,長尾 拳太,岐 阜,両,○,0,0,,S級選抜,11:54,11:57,四分戦,1,1,0
2026-04-26,42,4,3,015694,浮島 知稀,群 馬,逃,△,0,0,,S級選抜,11:54,11:57,四分戦,1,1,0
2026-04-26,42,4,4,015741,堀川 敬太郎,福 岡,逃,注,0,0,(追加),S級選抜,11:54,11:57,四分戦,1,1,0
2026-04-26,42,4,5,014135,金澤 幸司,福 島,追,,0,0,,S級選抜,11:54,11:57,四分戦,1,1,0
2026-04-26,42,4,6,015535,佐藤 竜太,愛 知,逃,,0,0,,S級選抜,11:54,11:57,四分戦,1,1,0
2026-04-26,42,4,7,013407,大矢 将大,埼 玉,追,,0,0,,S級選抜,11:54,11:57,四分戦,1,1,0
2026-04-26,42,4,8,014796,保科 千春,宮 城,追,,0,0,,S級選抜,11:54,11:57,四分戦,1,1,0
2026-04-26,42,4,9,015282,宮本 隼輔,熊 本,両,◎,0,0,,S級選抜,11:54,11:57,四分戦,1,1,0
2026-04-26,42,5,1,014231,河村 雅章,東 京,追,◎,0,0,,S級選抜,12:18,12:21,三分戦,1,1,0
2026-04-26,42,5,2,014852,徳永 哲人,熊 本,両,×,0,0,,S級選抜,12:18,12:21,三分戦,1,1,0
2026-04-26,42,5,3,013990,荻原 尚人,宮 城,追,注,0,0,,S級選抜,12:18,12:21,三分戦,1,1,0
2026-04-26,42,5,4,015508,菅野 航基,宮 城,逃,,0,0,,S級選抜,12:18,12:21,三分戦,1,1,0
2026-04-26,42,5,5,015207,林 慶次郎,福 岡,逃,○,0,0,,S級選抜,12:18,12:21,三分戦,1,1,0
2026-04-26,42,5,6,013618,櫻井 学,群 馬,両,,0,0,,S級選抜,12:18,12:21,三分戦,1,1,0
2026-04-26,42,5,7,014679,小玉 拓真,岡 山,両,,0,0,,S級選抜,12:18,12:21,三分戦,1,1,0
2026-04-26,42,5,8,014134,小野 大介,福 島,追,,0,0,,S級選抜,12:18,12:21,三分戦,1,1,0
2026-04-26,42,5,9,014863,一戸 康宏,埼 玉,両,△,0,0,,S級選抜,12:18,12:21,三分戦,1,1,0
2026-04-26,42,6,1,015323,小原 丈一郎,青 森,両,△,0,0,,S級選抜,12:42,12:45,三分戦,1,1,0
2026-04-26,42,6,2,014249,鷲田 幸司,福 井,追,○,0,0,,S級選抜,12:42,12:45,三分戦,1,1,0
2026-04-26,42,6,3,013945,福田 知也,神奈川,追,,0,0,,S級選抜,12:42,12:45,三分戦,1,1,0
2026-04-26,42,6,4,013912,金成 和幸,福 島,追,,0,0,,S級選抜,12:42,12:45,三分戦,1,1,0
2026-04-26,42,6,5,014606,稲毛 健太,和歌山,逃,◎,0,0,,S級選抜,12:42,12:45,三分戦,1,1,0
2026-04-26,42,6,6,014313,小谷 実,京 都,追,,0,0,,S級選抜,12:42,12:45,三分戦,1,1,0
2026-04-26,42,6,7,013693,藤原 憲征,新 潟,追,,0,0,,S級選抜,12:42,12:45,三分戦,1,1,0
2026-04-26,42,6,8,015703,牧田 悠生,新 潟,逃,注,0,0,,S級選抜,12:42,12:45,三分戦,1,1,0
2026-04-26,42,6,9,014791,木村 弘,青 森,逃,×,0,0,,S級選抜,12:42,12:45,三分戦,1,1,0
2026-04-26,42,7,1,015815,栗山 和樹,岐 阜,逃,○,0,0,,S級特選,13:07,13:10,コマ切れ,1,1,0
2026-04-26,42,7,2,013744,菅原 晃,大 分,追,注,0,0,,S級特選,13:07,13:10,コマ切れ,1,1,0
2026-04-26,42,7,3,015235,嵯峨 昇喜郎,青 森,両,◎,0,0,,S級特選,13:07,13:10,コマ切れ,1,1,0
2026-04-26,42,7,4,012669,伊藤 正樹,愛 知,追,,0,0,,S級特選,13:07,13:10,コマ切れ,1,1,0
2026-04-26,42,7,5,014350,佐藤 雅春,宮 城,追,×,0,0,,S級特選,13:07,13:10,コマ切れ,1,1,0
2026-04-26,42,7,6,015064,吉武 信太朗,愛 媛,逃,,0,0,,S級特選,13:07,13:10,コマ切れ,1,1,0
2026-04-26,42,7,7,015296,上田 尭弥,熊 本,逃,,0,0,,S級特選,13:07,13:10,コマ切れ,1,1,0
2026-04-26,42,7,8,014051,早坂 秀悟,茨 城,逃,,0,0,,S級特選,13:07,13:10,コマ切れ,1,1,0
2026-04-26,42,7,9,013719,吉田 敏洋,愛 知,両,△,0,0,,S級特選,13:07,13:10,コマ切れ,1,1,0
2026-04-26,42,8,1,014552,福島 武士,香 川,追,注,0,0,,S級特選,13:32,13:35,四分戦,1,1,0
2026-04-26,42,8,2,015170,川越 勇星,神奈川,両,,0,0,,S級特選,13:32,13:35,四分戦,1,1,0
2026-04-26,42,8,3,015516,木村 皆斗,茨 城,逃,◎,0,0,,S級特選,13:32,13:35,四分戦,1,1,0
2026-04-26,42,8,4,015389,宮崎 大空,熊 本,両,,0,0,(追加),S級特選,13:32,13:35,四分戦,1,1,0
2026-04-26,42,8,5,014071,朝倉 佳弘,東 京,追,△,0,0,,S級特選,13:32,13:35,四分戦,1,1,0
2026-04-26,42,8,6,015602,比佐 宝太,福 島,逃,,0,0,,S級特選,13:32,13:35,四分戦,1,1,0
2026-04-26,42,8,7,014882,山本 直,岡 山,両,×,0,0,,S級特選,13:32,13:35,四分戦,1,1,0
2026-04-26,42,8,8,013855,近藤 俊明,神奈川,追,,0,0,(追加),S級特選,13:32,13:35,四分戦,1,1,0
2026-04-26,42,8,9,015381,岩谷 拓磨,福 岡,逃,○,0,0,(追加),S級特選,13:32,13:35,四分戦,1,1,0
2026-04-26,42,9,1,015660,河崎 正晴,熊 本,逃,×,0,0,,S級特選,13:59,14:02,コマ切れ,1,1,0
2026-04-26,42,9,2,014168,高橋 和也,愛 知,両,○,0,0,,S級特選,13:59,14:02,コマ切れ,1,1,0
2026-04-26,42,9,3,015598,大川 剛,青 森,逃,注,0,0,,S級特選,13:59,14:02,コマ切れ,1,1,0
2026-04-26,42,9,4,015370,城戸 俊潔,岡 山,逃,,0,0,,S級特選,13:59,14:02,コマ切れ,1,1,0
2026-04-26,42,9,5,015826,久田 朔,大 阪,逃,△,0,0,,S級特選,13:59,14:02,コマ切れ,1,1,0
2026-04-26,42,9,6,014435,伊藤 勝太,愛 知,追,,0,0,,S級特選,13:59,14:02,コマ切れ,1,1,0
2026-04-26,42,9,7,013883,高津 晃治,岡 山,追,,0,0,,S級特選,13:59,14:02,コマ切れ,1,1,0
2026-04-26,42,9,8,015211,平尾 一晃,長 崎,逃,,0,0,,S級特選,13:59,14:02,コマ切れ,1,1,0
2026-04-26,42,9,9,015038,山岸 佳太,茨 城,両,◎,0,0,,S級特選,13:59,14:02,コマ切れ,1,1,0
2026-04-26,42,10,1,015825,南部 翔大,大 阪,逃,×,0,0,,S級特秀,14:26,14:29,四分戦,1,1,0
2026-04-26,42,10,2,013118,山内 卓也,愛 知,追,注,0,0,,S級特秀,14:26,14:29,四分戦,1,1,0
2026-04-26,42,10,3,015254,鈴木 輝大,東 京,追,○,0,0,,S級特秀,14:26,14:29,四分戦,1,1,0
2026-04-26,42,10,4,015050,堀内 俊介,神奈川,両,,0,0,,S級特秀,14:26,14:29,四分戦,1,1,0
2026-04-26,42,10,5,015006,石塚 輪太郎,和歌山,逃,△,0,0,,S級特秀,14:26,14:29,四分戦,1,1,0
2026-04-26,42,10,6,015446,林 敬宏,愛 知,逃,,0,0,,S級特秀,14:26,14:29,四分戦,1,1,0
2026-04-26,42,10,7,015522,堀江 省吾,長 野,逃,◎,0,0,,S級特秀,14:26,14:29,四分戦,1,1,0
2026-04-26,42,10,8,014657,野中 祐志,埼 玉,追,,0,0,,S級特秀,14:26,14:29,四分戦,1,1,0
2026-04-26,42,10,9,013328,萩原 孝之,静 岡,追,,0,0,,S級特秀,14:26,14:29,四分戦,1,1,0
2026-04-26,42,11,1,015604,安彦 統賀,埼 玉,両,△,0,0,(追加),S級特秀,14:56,14:59,三分戦,1,1,0
2026-04-26,42,11,2,012889,丸山 啓一,静 岡,追,注,0,0,,S級特秀,14:56,14:59,三分戦,1,1,0
2026-04-26,42,11,3,015272,中釜 章成,大 阪,逃,◎,0,0,,S級特秀,14:56,14:59,三分戦,1,1,0
2026-04-26,42,11,4,015106,大石 崇晴,大 阪,両,×,0,0,,S級特秀,14:56,14:59,三分戦,1,1,0
2026-04-26,42,11,5,015836,遠藤 拓巳,香 川,逃,,0,0,,S級特秀,14:56,14:59,三分戦,1,1,0
2026-04-26,42,11,6,014465,村上 直久,神奈川,両,,0,0,,S級特秀,14:56,14:59,三分戦,1,1,0
2026-04-26,42,11,7,014795,櫻井 正孝,宮 城,追,○,0,0,,S級特秀,14:56,14:59,三分戦,1,1,0
2026-04-26,42,11,8,015046,山本 紳貴,千 葉,追,,0,0,,S級特秀,14:56,14:59,三分戦,1,1,0
2026-04-26,42,11,9,014640,新山 将史,青 森,追,,0,0,,S級特秀,14:56,14:59,三分戦,1,1,0
2026-04-26,42,12,1,015620,纐纈 洸翔,愛 知,両,△,0,0,,S級決勝,15:27,15:30,四分戦,1,1,0
2026-04-26,42,12,2,014127,永澤 剛,青 森,追,○,0,0,,S級決勝,15:27,15:30,四分戦,1,1,0
2026-04-26,42,12,3,015731,西田 優大,広 島,逃,,0,0,,S級決勝,15:27,15:30,四分戦,1,1,0
2026-04-26,42,12,4,015336,小畑 勝広,茨 城,逃,,0,0,,S級決勝,15:27,15:30,四分戦,1,1,0
2026-04-26,42,12,5,014472,坂口 晃輔,三 重,追,,0,0,,S級決勝,15:27,15:30,四分戦,1,1,0
