race_date,place_code,race_no,car_no,narabi_x,narabi_y
2026-04-26,42,1,1,5,1
2026-04-26,42,1,2,2,1
2026-04-26,42,1,3,3,1
2026-04-26,42,1,4,6,1
2026-04-26,42,1,5,1,1
2026-04-26,42,2,1,6,1
2026-04-26,42,2,2,9,1
2026-04-26,42,2,3,1,1
2026-04-26,42,2,4,3,1
2026-04-26,42,2,5,7,1
2026-04-26,42,3,1,1,1
2026-04-26,42,3,2,5,1
2026-04-26,42,3,3,8,1
2026-04-26,42,3,4,7,1
2026-04-26,42,3,5,2,1
2026-04-26,42,3,6,4,1
2026-04-26,42,4,1,6,1
2026-04-26,42,4,2,9,1
2026-04-26,42,4,3,11,1
2026-04-26,42,4,4,4,1
2026-04-26,42,4,5,2,1
2026-04-26,42,4,6,8,1
2026-04-26,42,4,7,12,1
2026-04-26,42,4,8,1,1
2026-04-26,42,4,9,5,1
2026-04-26,42,5,1,2,1
2026-04-26,42,5,2,10,1
2026-04-26,42,5,3,6,1
2026-04-26,42,5,4,5,1
2026-04-26,42,5,5,9,1
2026-04-26,42,5,6,3,1
2026-04-26,42,5,7,12,1
2026-04-26,42,5,8,7,1
2026-04-26,42,5,9,1,1
2026-04-26,42,6,1,6,1
2026-04-26,42,6,2,2,1
2026-04-26,42,6,3,11,1
2026-04-26,42,6,4,7,1
2026-04-26,42,6,5,1,1
2026-04-26,42,6,6,3,1
2026-04-26,42,6,7,10,1
2026-04-26,42,6,8,9,1
2026-04-26,42,6,9,5,1
2026-04-26,42,7,1,1,1
2026-04-26,42,7,2,6,1
2026-04-26,42,7,3,8,1
2026-04-26,42,7,4,3,1
2026-04-26,42,7,5,9,1
2026-04-26,42,7,6,11,1
2026-04-26,42,7,7,5,1
2026-04-26,42,7,8,13,1
2026-04-26,42,7,9,2,1
2026-04-26,42,8,1,2,1
2026-04-26,42,8,2,7,1
2026-04-26,42,8,3,10,1
2026-04-26,42,8,4,5,1
2026-04-26,42,8,5,11,1
2026-04-26,42,8,6,13,1
2026-04-26,42,8,7,1,1
2026-04-26,42,8,8,8,1
2026-04-26,42,8,9,4,1
2026-04-26,42,9,1,1,1
2026-04-26,42,9,2,5,1
2026-04-26,42,9,3,11,1
2026-04-26,42,9,4,8,1
2026-04-26,42,9,5,4,1
2026-04-26,42,9,6,6,1
2026-04-26,42,9,7,9,1
2026-04-26,42,9,8,2,1
2026-04-26,42,9,9,13,1
2026-04-26,42,10,1,1,1
2026-04-26,42,10,2,5,1
2026-04-26,42,10,3,8,1
2026-04-26,42,10,4,11,1
2026-04-26,42,10,5,2,1
2026-04-26,42,10,6,4,1
2026-04-26,42,10,7,7,1
2026-04-26,42,10,8,9,1
2026-04-26,42,10,9,12,1
2026-04-26,42,11,1,1,1
2026-04-26,42,11,2,6,1
2026-04-26,42,11,3,9,1
2026-04-26,42,11,4,10,1
2026-04-26,42,11,5,12,1
2026-04-26,42,11,6,5,1
2026-04-26,42,11,7,2,1
2026-04-26,42,11,8,7,1
2026-04-26,42,11,9,3,1
2026-04-26,42,12,1,1,1
2026-04-26,42,12,2,5,1
2026-04-26,42,12,3,11,1
2026-04-26,42,12,4,7,1
2026-04-26,42,12,5,2,1
2026-04-26,42,12,6,9,1
2026-04-26,42,12,7,12,1
2026-04-26,42,12,8,4,1
2026-04-26,42,12,9,8,1
2026-04-26,11,1,1,1,1
2026-04-26,11,1,2,3,1
