race_date,place_code,race_no,car_no,player_code,player_name,prefecture,kyuhan,prev_kyuhan,kyakusitu,sotugyouki,age,heikin_tokuten,nige_cnt,makuri_cnt,sasi_cnt,mark_cnt,back_cnt,home_tori,st_tori,syouritu,rentairitu2,rentairitu3,ketujyou_tuika_hojyu,shumoku_name,kyori,shukai,kyoso_shurui,yudo_sensyu
2026-03-26,42,1,1,015578,飯田 風音,埼 玉,L1,L1,両,120,24,54.41,6,7,3,4,7,10,6,25.0,64.0,80.0,,L級ガ予2,1625,4,I固,柴田 昌樹
2026-03-26,42,1,2,015679,又多 風緑,石 川,L1,L1,両,122,23,53.3,4,3,2,5,7,3,4,13.0,46.0,73.0,,L級ガ予2,1625,4,I固,柴田 昌樹
2026-03-26,42,1,3,015682,渡部 遥,愛 媛,L1,L1,両,122,23,52.25,4,0,3,0,6,7,1,16.0,58.0,58.0,,L級ガ予2,1625,4,I固,柴田 昌樹
2026-03-26,42,1,4,015763,山口 優依,愛 知,L1,L1,両,124,31,50.36,0,1,2,1,5,6,6,12.0,16.0,44.0,,L級ガ予2,1625,4,I固,柴田 昌樹
2026-03-26,42,1,5,015082,高橋 朋恵,東 京,L1,L1,追,108,31,50.14,1,0,1,6,1,1,5,2.0,23.0,41.0,,L級ガ予2,1625,4,I固,柴田 昌樹
2026-03-26,42,1,6,015591,松本 ちひろ,山 口,L1,L1,両,120,30,48.87,0,0,1,1,0,0,1,4.0,8.0,25.0,,L級ガ予2,1625,4,I固,柴田 昌樹
2026-03-26,42,1,7,015593,中村 鈴花,熊 本,L1,L1,追,120,24,47.47,0,0,0,0,0,2,2,0.0,0.0,10.0,,L級ガ予2,1625,4,I固,柴田 昌樹
2026-03-26,42,2,1,015219,梅川 風子,東 京,L1,L1,逃,112,35,57.29,8,8,0,0,16,7,1,88.0,94.0,94.0,,L級ガ予2,1625,4,I固,小川 大地
2026-03-26,42,2,2,015220,鈴木 美教,静 岡,L1,L1,両,112,31,52.66,1,4,1,0,3,2,0,21.0,42.0,50.0,(追加),L級ガ予2,1625,4,I固,小川 大地
2026-03-26,42,2,3,015755,神戸 暖稀羽,北海道,L1,L1,両,124,22,52.22,1,0,4,6,3,3,4,14.0,40.0,59.0,,L級ガ予2,1625,4,I固,小川 大地
